source,target,value
1803,1804,0.615384615384615
1805,7019,0.4
1805,1804,0.625
1806,7005,0.625
1901,8442,0.571428571428571
1902,2204,0.538461538461538
1904,9026,0.5
1905,4819,0.615384615384615
2001,2007,0.666666666666667
2001,2008,0.625
2001,4602,0.583333333333333
2001,4907,0.419354838709677
2002,2204,0.6
2002,2515,0.6
2002,2209,0.466666666666667
2006,6701,0.5
2007,2801,0.454545454545455
2008,2009,0.666666666666667
2101,6201,0.416666666666667
2102,7217,0.6
2103,2922,0.538461538461538
2104,5107,0.666666666666667
2104,9618,0.714285714285714
2104,2205,0.428571428571429
2201,7118,0.315789473684211
2201,8001,0.416666666666667
2201,8548,0.416666666666667
2202,9610,0.6
2204,2307,0.461538461538462
2206,8901,0.538461538461538
2207,6910,0.307692307692308
2208,7326,0.315789473684211
2309,3302,0.454545454545455
2402,2403,0.4
2403,7503,0.411764705882353
2503,7601,0.5
2504,2526,0.545454545454545
2505,6803,0.5
2506,2529,0.555555555555556
2506,2605,0.44
2506,2525,0.388888888888889
2506,7103,0.444444444444444
2507,2847,0.529411764705882
2509,2530,0.5
2509,2602,0.4
2509,2610,0.472222222222222
2511,7206,0.461538461538462
2511,2805,0.454545454545455
2512,8474,0.5
2513,8442,0.714285714285714
2513,4002,0.571428571428571
2514,2515,0.611111111111111
2514,6801,0.555555555555556
2516,7616,0.583333333333333
2517,7616,0.571428571428571
2518,2808,0.714285714285714
2518,5507,0.8
2519,2526,0.545454545454545
2519,3806,0.545454545454545
2520,7615,0.411764705882353
2521,2716,0.625
2521,2522,0.625
2523,5802,0.46875
2524,4703,0.333333333333333
2526,6701,0.5
2528,2840,0.4
2529,8105,0.5
2529,7201,0.5
2601,2608,0.416666666666667
2603,2607,0.411764705882353
2603,7401,0.411764705882353
2604,8435,0.25
2604,7501,0.666666666666667
8435,8608,0.6
2605,2610,0.583333333333333
2607,2608,0.5
2607,2616,0.411764705882353
2608,7801,0.458333333333333
2609,4001,0.428571428571429
2611,7801,0.470588235294118
2611,2613,0.470588235294118
5105,5103,0.777777777777778
5105,2612,0.333333333333333
2618,7213,0.7
2619,7612,0.545454545454545
2620,7404,0.576271186440678
2620,9999,0.426829268292683
2702,2812,0.666666666666667
2703,3211,0.5
2703,9107,0.5
2704,8402,0.666666666666667
3707,2848,1
3707,3503,0.8
3707,7011,0.8
3707,8434,0.666666666666667
3707,8471,0.666666666666667
3707,2705,0.6
3707,4003,0.6
2706,7804,0.6
2706,8212,0.636363636363636
2707,2712,0.5
2707,2714,0.363636363636364
2708,2715,0.55
2708,2709,0.375
2711,3501,0.363636363636364
2712,2902,0.5
2713,3403,0.545454545454545
2715,4909,0.411764705882353
2716,7325,0.625
2716,4705,0.625
2716,7601,0.5
7613,3813,0.75
7613,4906,0.75
7613,5108,0.75
7613,5406,0.8
7613,7504,0.75
7613,8449,0.8
7613,2802,0.75
2803,7410,0.5
2804,8514,0.666666666666667
2806,8511,0.5
2807,5107,0.666666666666667
2808,5507,0.714285714285714
2808,5801,0.714285714285714
2808,7219,0.857142857142857
2808,7409,0.7
2808,8512,0.714285714285714
2808,8518,0.714285714285714
2808,9004,0.714285714285714
2808,8514,0.666666666666667
2808,7223,0.714285714285714
2808,8404,0.714285714285714
2808,8448,0.714285714285714
2809,3907,0.75
2809,5505,0.75
2809,7015,0.75
2809,9612,0.875
2926,2810,0.75
2926,2931,0.75
2810,8112,0.666666666666667
2810,8602,0.666666666666667
2810,2931,1
8112,8602,0.666666666666667
8112,2931,0.666666666666667
2811,2929,0.75
2812,2813,0.857142857142857
2812,2835,0.666666666666667
2813,8507,0.714285714285714
2814,2818,0.5625
2814,6401,0.454545454545455
2815,2901,0.583333333333333
2816,5501,0.8
2816,6806,0.8
2816,8427,0.75
2816,2929,0.75
2816,3503,0.75
2816,3504,0.8
2816,9107,0.75
2816,7002,0.75
2816,5110,0.75
2816,7011,0.8
2816,2909,1
2816,5502,0.75
2816,9010,0.666666666666667
2816,9025,0.666666666666667
5501,6806,0.8
5501,3504,0.8
5501,7011,0.8
5501,2909,0.8
5501,9010,0.666666666666667
5501,9025,0.666666666666667
2817,6904,0.666666666666667
2819,2839,0.8
2819,2903,0.666666666666667
2819,2908,0.666666666666667
2819,3204,0.666666666666667
2820,6603,0.625
2821,4304,0.6
2822,2844,0.5
2823,3901,0.666666666666667
2823,4007,0.666666666666667
2823,5801,0.666666666666667
2823,6507,0.833333333333333
2823,8448,0.666666666666667
2823,7411,0.666666666666667
2824,7305,0.625
2825,4702,0.666666666666667
2826,2904,0.692307692307692
2827,2831,0.666666666666667
2827,2832,0.7
2827,2917,0.666666666666667
2827,3702,0.666666666666667
2827,7305,0.666666666666667
2827,8445,0.666666666666667
2827,2907,0.666666666666667
2827,7313,0.666666666666667
2827,8545,0.666666666666667
2827,9302,0.666666666666667
2828,6704,0.571428571428571
2829,6815,0.625
2830,2837,0.625
2830,7004,0.647058823529412
2831,2917,0.666666666666667
2831,3702,0.714285714285714
2831,4822,0.714285714285714
2831,9205,0.714285714285714
2831,8448,0.714285714285714
2832,2924,0.727272727272727
2832,5516,0.692307692307692
2832,5606,0.666666666666667
2832,2907,0.7
2833,2907,0.666666666666667
2834,6815,0.666666666666667
2835,3816,0.666666666666667
2835,7218,0.666666666666667
2835,7223,0.666666666666667
2835,3104,0.555555555555556
2836,9103,0.615384615384615
2836,7208,0.615384615384615
2837,2841,0.666666666666667
2837,2847,0.6
2837,4302,0.666666666666667
2837,4106,0.466666666666667
2839,2903,0.833333333333333
2839,2908,0.666666666666667
2839,9025,0.666666666666667
2840,7210,0.6
